mk_id,entry_id,brand,model,bp_serial,gm_serial,all_serials
1,392,alfa_romeo,,BE2569,,BE2569
1,393,alfa_romeo,,BE2569,,BE2569
1,711,blaupunkt,,7643305316,BP3305,7643305316|1560592550
1,712,blaupunkt,,7649376316,BP9376,7649376316|7353017860
1,713,blaupunkt,,7643301316,BP3301,7643301316|1560534690
1,714,blaupunkt,,7643301616,BP3301,7643301616|1560534690
1,715,blaupunkt,,7645327316,BP5327,7645327316|1560534690
1,716,blaupunkt,,7645327616,BP5327,7645327616|1560534690
1,717,blaupunkt,,7646301316,BP6301,7646301316
1,718,blaupunkt,,7646304316,BP6304,7646304316|1560745540
1,719,blaupunkt,,7646304616,BP6304,7646304616|1560745540
1,720,blaupunkt,,7649378316,BP9378,7649378316|7353018230
1,721,blaupunkt,,7649378616,BP9378,7649378616|7353018230
1,722,blaupunkt,,7643392316,BP3392,7643392316|1560484100
1,723,blaupunkt,,7643392616,BP3392,7643392616|1560484100
1,724,blaupunkt,,7649379316,BP9379,7649379316|7353143100
1,725,blaupunkt,,7643302316,BP3302,7643302316|1560534700
1,726,blaupunkt,,7643395316,BP3395,7643395316|1560484110
1,727,blaupunkt,,7643395616,BP3395,7643395616|1560484110
1,728,blaupunkt,,7644392316,BP4392,7644392316|1560484100
1,729,blaupunkt,,7644392616,BP4392,7644392616|1560484100
1,730,blaupunkt,,7645328316,BP5328,7645328316|1560484100
1,731,blaupunkt,,7645335316,BP5335,7645335316|1560484120
1,732,blaupunkt,,7646300316,BP6300,7646300316|1560745560
1,733,blaupunkt,,7646306316,BP6306,7646306316|1560745550
1,734,blaupunkt,,7646306616,BP6306,7646306616|1560745550
1,737,blaupunkt,,7646358316,BP6358,7646358316|1560745600
1,738,blaupunkt,,7646684316,BP6684,7646684316
1,739,blaupunkt,,7646687316,BP6687,7646687316
1,740,blaupunkt,,7646694316,BP6694,7646694316|1560745540
1,741,blaupunkt,,7646694616,BP6694,7646694616|1560745540
1,742,blaupunkt,,7646697316,BP6697,7646697316|1560750780
1,743,blaupunkt,,7646685316,BP6685,7646685316
1,744,blaupunkt,,7646686316,BP6686,7646686316
1,745,blaupunkt,,7646688316,BP6688,7646688316
1,746,blaupunkt,,7646689316,BP6689,7646689316
1,747,blaupunkt,,7646695316,BP6695,7646695316|1560745550
1,748,blaupunkt,,7646696316,BP6696,7646696316|1560745560
1,749,blaupunkt,,7646698316,BP6698,7646698316|1560745590
1,750,blaupunkt,,7646699316,BP6699,7646699316|1560745600
1,751,blaupunkt,,7649377316,BP9377,7649377316|7353387100
1,752,blaupunkt,,7643379316,BP3379,7643379316|7353387110
1,753,blaupunkt,,7643304316,BP3304,7643304316|1560534720
1,754,blaupunkt,,7643303316,BP3303,7643303316|1560534710
1,755,blaupunkt,,7646357316,BP6357,7646357316|1560745990
1,756,blaupunkt,,7646357616,BP6357,7646357616|1560745990
1,757,blaupunkt,,7640376316,BP0376,7640376316|1560342080
1,758,blaupunkt,,7643315316,BP3315,7643315316|1560595920
1,759,blaupunkt,,7640378316,BP0378,7640378316|1560342090
1,760,blaupunkt,,7643311316,BP3311,7643311316|1560537380
1,761,blaupunkt,,7645331316,BP5331,7645331316|1560537380
1,762,blaupunkt,,7607005055,BP7005,7607005055|1560343270
1,763,blaupunkt,,7607271022,BP1022,7607271022|1560352950
1,764,blaupunkt,,7607005057,BP7005,7607005057|1560343280
1,765,blaupunkt,,7640372316,BP0372,7640372316|1560388070
1,766,blaupunkt,,7612001497,BP1491,7612001497|1560342100
1,767,blaupunkt,,7620000400,BP1022,7620000400|1560517360
1,768,blaupunkt,,7612001088,BP1491,7612001088|1560342130
1,769,blaupunkt,,7612001089,BP1491,7612001089|1560517350
1,770,blaupunkt,,7643316316,BP3316,7643316316|1560517340
1,771,blaupunkt,,7640379316,BP0379,7640379316|1560342120
1,772,blaupunkt,,7643313316,BP3313,7643313316|1560543320
1,773,blaupunkt,,7607271026,BP1026,7607271026|1560352960
1,774,blaupunkt,,7640382316,BP0382,7640382316|1560387910
1,775,blaupunkt,,7643314316,BP3314,7643314316|1560543330
1,776,blaupunkt,,7643312316,BP3312,7643312316|1560537390
1,777,blaupunkt,,7645332316,BP5332,7645332316|1560704420
1,778,blaupunkt,,7645332616,BP5332,7645332616|1560704420
1,779,blaupunkt,,7646302316,BP6302,7646302316|1560730930
1,780,blaupunkt,,7645333316,BP5333,7645333316|1560704400
1,781,blaupunkt,,7646303316,BP6303,7646303316|1560730940
1,782,blaupunkt,,7646303616,BP6303,7646303616|1560730940
1,783,blaupunkt,,7645334316,BP5334,7645334316|1560598180
1,784,blaupunkt,,7645334316,BP5334,7645334316|1560704410
1,785,blaupunkt,,7646308316,BP6308,7646308316|1560730950
1,786,blaupunkt,,7649364316,BP9364,7649364316|1560919080
1,787,blaupunkt,,7640330316,BP0330,7640330316|1560990520
1,788,blaupunkt,,7648361316,BP8361,7648361316|1560873490
1,789,blaupunkt,,7648362316,BP8362,7648362316|1560808720
1,790,blaupunkt,,7648526316,BP8526,7648526316|1560919080
1,1162,blaupunkt,ROMEO,7648528316,BP8528,7648528316|1560919100
1,1640,alfa_romeo,ROMEO,7648320316,,7648320316|1560979130
1,1641,alfa_romeo,ROMEO,7646303316,,7646303316|1560730940
1,1642,alfa_romeo,ROMEO,7648321316,,7648321316|1560979140
1,1643,alfa_romeo,ROMEO,7647302316,,7647302316|1560912490
1,1644,alfa_romeo,ROMEO,7647303316,,7647303316|1560912500
1,1645,alfa_romeo,ROMEO,7640333316,,7640333316|1560968770
1,1646,alfa_romeo,ROMEO,7649364316,,7649364316|1560919080
1,1647,alfa_romeo,ROMEO,7648526316,,7648526316|1560919080
1,1653,alfa_romeo,ROMEO,7648527316,,7648527316|1560919090
1,1967,alfa_romeo,ROMEO,902221710258,,902221710258|60600483
1,2749,alfa_romeo,ROMEO,7640335316,,7640335316|1560968790
1,2750,alfa_romeo,ROMEO,7640331316,,7640331316|1560990530
1,2751,blaupunkt,ROMEO,7648363316,BP8363,7648363316|1560873510
1,2964,blaupunkt,ROMEO,7612001475,BP1430,7612001475
1,3030,alfa_romeo,ROMEO,7640330316,,7640330316|1560990520
1,3549,blaupunkt,ROMEO,7643301316,BP3301,7643301316|7353018230
1,3550,blaupunkt,ROMEO,7649378316,BP9378,7649378316|7352932340
1,3551,alfa_romeo,ROMEO,7648528316,,7648528316|1560919100
1,3552,alfa_romeo,ROMEO,7640356316,,7640356316|1560978800
1,3553,alfa_romeo,ROMEO,7640358316,,7640358316|1560978820
1,3554,alfa_romeo,ROMEO,7649366316,,7649366316|1560919100
1,3557,blaupunkt,ROMEO,7649376316,BP9376,7649376316|7352932320
1,3558,blaupunkt,ROMEO,7648534316,BP8534,7648534316
1,3559,blaupunkt,ROMEO,7648537316,BP8537,7648537316|1560877130
1,3560,blaupunkt,ROMEO,7648536316,BP8536,7648536316|1560877160
1,3561,blaupunkt,ROMEO,7648535316,BP8535,7648535316|1560877140
1,3562,blaupunkt,ROMEO,7648538316,BP8538,7648538316|1560877150
1,3563,blaupunkt,ROMEO,7648539316,BP8539,7648539316
1,3573,alfa_romeo,ROMEO,7640334316,,7640334316|1560968780
1,3574,alfa_romeo,ROMEO,7642322316,,7642322316|1561023580
1,3590,alfa_romeo,ROMEO,7640357316,,7640357316|1560978810
1,5078,alfa_romeo,ROMEO,7642328316,,7642328316|1561024550
1,5101,alfa_romeo,ROMEO,7648538316,,7648538316|1560877150
1,5102,blaupunkt,ROMEO,7646302616,BP6302,7646302616|1560730930
1,5616,blaupunkt,ROMEO,7649365316,BP9365,7649365316|1560919090
1,5617,blaupunkt,ROMEO,7649366316,BP9366,7649366316|1560919100
1,5618,alfa_romeo,ROMEO,7640332316,,7640332316|1560990540
1,5619,alfa_romeo,ROMEO,7649365316,,7649365316|1560919090
1,5652,alfa_romeo,ROMEO,7640363316,,7640363316
1,5653,alfa_romeo,ROMEO,7640364316,,7640364316
1,5654,alfa_romeo,ROMEO,7640365316,,7640365316
1,5655,alfa_romeo,ROMEO,7640366316,,7640366316
1,5656,alfa_romeo,ROMEO,7640367316,,7640367316
1,5657,alfa_romeo,ROMEO,7640368316,,7640368316
1,5658,alfa_romeo,ROMEO,7647390316,,7647390316
1,5659,alfa_romeo,ROMEO,7648322316,,7648322316
